# format=rl-suite-semantic-map-v1
# revision=1.12.13
# input.sha256=a0eeaa3968819fdde8bb13988a99b7a6152539da35955da3860576b4c39b7859
# source=devious-annotations
# source.sha256=68fa234b5709c52a7d589d59e53223c08ca764aac3ffe71fb9fda40f31e0c2c8
# source.commit=3c01c4f5a68e2e013f47ea8bb8b66e364494ebee
class	tg	-	-	BufferedSource
class	th	-	-	class498
class	ti	-	-	UserList
class	tj	-	-	FriendLoginUpdate
class	tk	-	-	IgnoreList
class	tl	-	-	ClanMate
class	tm	-	-	Buddy
class	tn	-	-	AbstractUserComparator
class	to	-	-	WorldEntityCoordSnapshot
class	tp	-	-	Usernamed
class	tq	-	-	TriBool
class	ts	-	-	WorldEntity
class	tt	-	-	class499
class	tu	-	-	BufferedNetSocket
class	tv	-	-	Friend
class	tw	-	-	BufferedSink
class	tx	-	-	HttpHeaders
class	ty	-	-	Ignored
class	tz	-	-	User
class	ua	-	-	class528
class	ub	-	-	HttpJsonRequestBody
class	uf	-	-	class524
class	ug	-	-	class545
class	uh	-	-	class532
class	ui	-	-	class525
class	uj	-	-	class520
class	uk	-	-	DefaultsGroup
class	uo	-	-	class535
class	up	-	-	ActorSpotAnim
class	ur	-	-	HttpContentType
class	ut	-	-	DynamicArray
class	uu	-	-	HttpPayload
class	uv	-	-	ClickAction
class	uw	-	-	GraphicsDefaults
class	uz	-	-	HttpQueryParams
class	vc	-	-	IndexedObjectNode
class	vf	-	-	ObjectNode
class	vg	-	-	IntegerNode
class	vh	-	-	class565
class	vi	-	-	DesktopPlatformInfoProvider
class	vj	-	-	Fonts
class	vl	-	-	class560
class	vn	-	-	PlatformInfo
class	vo	-	-	DualNode
class	vq	-	-	class558
class	vr	-	-	Link
class	vs	-	-	WorldMap
class	vv	-	-	WorldMapArchiveLoader
class	vx	-	-	class556
class	vy	-	-	FontName
class	vz	-	-	Node
class	wc	-	-	LoginType
class	we	-	-	DbTableType
class	wh	-	-	class586
class	wi	-	-	DbRowType
class	wn	-	-	AccessFile
class	wp	-	-	class594
class	ws	-	-	BufferedFile
class	wu	-	-	DbTable
class	xa	-	-	Buffer
class	xb	-	-	CameraFocusableEntity
class	xc	-	-	GZipDecompressor
class	xd	-	-	UserComparator1
class	xe	-	-	NPCOverheadIcons
class	xf	-	-	AbstractRasterProvider
class	xg	-	-	FillMode
class	xh	-	-	BZip2State
class	xi	-	-	BZip2Decompressor
class	xj	-	-	PacketBuffer
class	xk	-	-	Menu
class	xl	-	-	class623
class	xm	-	-	IndexedSprite
class	xn	-	-	class604
class	xo	-	-	IsaacCipher
class	xq	-	-	class615
class	xs	-	-	Rasterizer2D
class	xt	-	-	SpritePixels
class	xv	-	-	Username
class	xy	-	-	PrivateChatMode
class	xz	-	-	UserComparator2
class	yg	-	-	RunException
field	aa	ag	I	capacity2
field	aa	an	[B	byteSamples
field	aa	at	Ljavax/sound/sampled/SourceDataLine;	line
field	aa	av	Ljavax/sound/sampled/AudioFormat;	format
field	ac	av	Lac;	INSTANCE
field	ae	pb	I	oculusOrbFocalPointY
field	af	av	I	rotation
field	ah	ke	Lqn;	archive10
field	al	an	Ljava/lang/String;	responseBody
field	al	at	Ljava/lang/String;	headerFields
field	al	av	I	responseCode
field	ao	av	Ljava/awt/Component;	component
field	aq	aj	I	KeyHandler_idleCycles
field	aq	at	[Z	KeyHandler_pressedKeys
field	ar	at	Ljava/lang/String;	errorMessage
field	ar	av	Ljava/util/concurrent/Future;	responseFuture
field	ar	fx	Ldd;	worldView
field	as	ag	Ljava/util/concurrent/ThreadPoolExecutor;	threadPoolExecutor
field	as	an	I	workQueueCapacity
field	as	at	Ljava/util/concurrent/ThreadFactory;	threadFactory
field	as	av	Ljava/lang/String;	threadNamePrefix
field	au	ae	Z	requestInitialized
field	au	aj	Z	followRedirects
field	au	ak	I	connectionTimeout
field	au	an	Luu;	httpPayload
field	au	at	Ltx;	httpHeaders
field	au	av	Ljavax/net/ssl/HttpsURLConnection;	connection
field	aw	lq	I	cameraX
field	aw	og	[[I	xteaKeys
field	ay	ae	Lay;	DELETE
field	ay	ag	Lay;	PUT
field	ay	ak	Ljava/lang/String;	name
field	ay	an	Lay;	PATCH
field	ay	at	Lay;	GET
field	ay	av	Lay;	POST
field	bb	at	Ljava/awt/Component;	component
field	bb	av	Ljava/awt/Image;	image
field	bd	ae	Ltc;	friendsList
field	bd	aj	Ltk;	ignoreList
field	bd	an	Lwc;	loginType
field	bf	aa	Lbf;	READ_ACCOUNT_INFO_PACKET_SIZE
field	bf	ab	Lbf;	SET_SERVER_PROTOCOL
field	bf	ac	Lbf;	READ_ACCOUNT_INFO
field	bf	ad	Lbf;	READ_PROFILE_TRANSFER_TIME
field	bf	ae	Lbf;	READ_RANDOM_VERIFICATION_NUMBER
field	bf	af	Lbf;	REFRESHING_TOKEN
field	bf	ag	Lbf;	UNMAPPED_20
field	bf	ah	Lbf;	UNMAPPED_18
field	bf	ai	Lbf;	PROFILE_TRANSFER
field	bf	aj	Lbf;	WRITE_INITIAL_LOGIN_PACKET
field	bf	ak	Lbf;	READ_CLIENT_INFO_STATUS
field	bf	al	Lbf;	UNMAPPED_19
field	bf	am	Lbf;	TOKEN_RESPONSE
field	bf	an	Lbf;	READ_LOGIN_STATUS
field	bf	ao	Lbf;	UNMAPPED_21
field	bf	ap	Lbf;	SUBMIT_DIGEST_PARSER_TASK
field	bf	ar	Lbf;	UNMAPPED_17
field	bf	as	Lbf;	UNMAPPED
field	bf	at	Lbf;	INIT_MOUSEHANDLER_SOCKET
field	bf	au	Lbf;	READ_STATE_11_PACKET_SIZE
field	bf	av	Lbf;	SHUTDOWN_PREVIOUS_CONNECTION
field	bf	aw	Lbf;	READ_DIGEST_PARSER_PACKET_SIZE
field	bf	ax	Lbf;	UPDATE_PLAYER_AND_LOAD_REGIONS
field	bf	ay	Lbf;	WRITE_DIGEST_PARSER_RESULT
field	bf	az	Lbf;	UNMAPPED_11
field	bg	cu	I	otpMedium
field	bh	ae	Llz;	pathTraversed
field	bh	ag	Loj;	coord
field	bh	ak	[Ljava/lang/String;	actions
field	bh	ap	I	orientation
field	bh	au	I	targetIndex
field	bh	lz	I	currentPort
field	bi	ab	[Lxt;	mapIcons
field	bi	ac	[I	mapIconYs
field	bi	ai	I	mapIconCount
field	bi	ar	I	Players_count
field	bi	as	[I	mapIconXs
field	bi	au	Lxt;	redHintArrowSprite
